10 2 [20, 20]
capacities = [100000, 35, 47, 20, 23, 44, 45, 29, 49, 39, 35]
initial     = [50000, 6, 39, 13, 16, 37, 8, 1, 46, 31, 28]
target      = [0, 35, 10, 4, 3, 2, 35, 26, 15, 10, 8]
weights    = [0.000000, 0.094980, 0.207429, 0.172143, 0.285238, 1.000000, 0.091878, 0.102198, 0.162190, 0.164000, 0.185714]
min_ratio  = [0.0000, 0.1200, 0.7000, 0.7000, 0.7000, 0.7000, 0.1600, 0.0269, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584105.156, 4511486.593), (584742.557, 4511716.119), (584303.377, 4512268.443), (584115.351, 4511570.441), (584700.746, 4511779.986), (584335.477, 4512302.398), (584156.244, 4511548.691), (584692.076, 4511758.196), (584333.681, 4512279.762), (584144.987, 4511420.868)]
distances = [
{0.0000, 430.2986, 352.6773, 478.3043, 365.6805, 301.4115, 506.5242, 350.1047, 295.0520, 484.3244, 456.9166}
{430.2986, 0.0000, 677.4675, 806.5861, 84.4651, 663.9333, 847.6938, 80.4121, 646.7172, 825.4337, 76.8530}
{352.6773, 677.4675, 0.0000, 705.6494, 643.9013, 76.3358, 713.7486, 609.7500, 65.7183, 696.3287, 666.5304}
{478.3043, 806.5861, 705.6494, 0.0000, 722.8839, 629.6766, 46.7258, 734.6372, 641.4345, 32.3486, 862.2480}
{365.6805, 84.4651, 643.9013, 722.8839, 0.0000, 621.7688, 764.3404, 46.3170, 606.5171, 742.1622, 152.4807}
{301.4115, 663.9333, 76.3358, 629.6766, 621.7688, 0.0000, 637.4447, 591.5913, 23.4514, 620.0915, 661.6903}
{506.5242, 847.6938, 713.7486, 46.7258, 764.3404, 637.4447, 0.0000, 774.7249, 650.6286, 22.7066, 901.8766}
{350.1047, 80.4121, 609.7500, 734.6372, 46.3170, 591.5913, 774.7249, 0.0000, 575.3331, 752.2961, 128.3177}
{295.0520, 646.7172, 65.7183, 641.4345, 606.5171, 23.4514, 650.6286, 575.3331, 0.0000, 632.8331, 642.7257}
{484.3244, 825.4337, 696.3287, 32.3486, 742.1622, 620.0915, 22.7066, 752.2961, 632.8331, 0.0000, 879.3776}
{456.9166, 76.8530, 666.5304, 862.2480, 152.4807, 661.6903, 901.8766, 128.3177, 642.7257, 879.3776, 0.0000}
]
