10 3 [20, 20, 20]
capacities = [100000, 47, 27, 25, 22, 24, 45, 31, 31, 35, 46]
initial     = [50000, 44, 0, 21, 5, 18, 4, 1, 0, 27, 38]
target      = [0, 2, 25, 3, 14, 8, 35, 20, 29, 1, 4]
weights    = [0.000000, 0.817308, 0.086538, 0.269231, 0.073489, 0.095673, 0.082363, 0.084712, 0.086538, 1.000000, 0.360577]
min_ratio  = [0.0000, 0.7000, 0.0000, 0.7000, 0.2500, 0.7000, 0.0800, 0.0350, 0.0000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584071.910, 4511501.830), (584730.840, 4511688.298), (584333.956, 4512149.549), (584078.762, 4511581.544), (584666.608, 4511726.745), (584350.031, 4512270.638), (584044.710, 4511518.132), (584673.587, 4511763.572), (584238.011, 4512237.270), (584053.226, 4511555.209)]
distances = [
{0.0000, 443.3376, 349.1885, 355.7339, 388.4803, 276.4887, 473.2836, 453.5200, 276.0016, 466.3100, 424.4699}
{443.3376, 0.0000, 684.8055, 698.7190, 80.0081, 635.8081, 817.5681, 31.7114, 656.1430, 753.9637, 56.5551}
{349.1885, 684.8055, 0.0000, 608.4984, 660.7590, 74.8599, 695.7990, 706.9163, 94.5733, 737.7333, 690.5603}
{355.7339, 698.7190, 608.4984, 0.0000, 622.6989, 537.9784, 122.1514, 694.5148, 514.1285, 130.0006, 657.3045}
{388.4803, 80.0081, 660.7590, 622.6989, 0.0000, 605.5133, 740.5659, 71.9764, 622.0540, 674.7862, 36.6824}
{276.4887, 635.8081, 74.8599, 537.9784, 605.5133, 0.0000, 629.3176, 655.9544, 37.4820, 666.5809, 636.9159}
{473.2836, 817.5681, 695.7990, 122.1514, 740.5659, 629.3176, 0.0000, 812.0878, 601.5023, 116.8840, 774.5527}
{453.5200, 31.7114, 706.9163, 694.5148, 71.9764, 655.9544, 812.0878, 0.0000, 675.0754, 744.6638, 38.0427}
{276.0016, 656.1430, 94.5733, 514.1285, 622.0540, 37.4820, 601.5023, 675.0754, 0.0000, 643.5183, 654.4179}
{466.3100, 753.9637, 737.7333, 130.0006, 674.7862, 666.5809, 116.8840, 744.6638, 643.5183, 0.0000, 706.6483}
{424.4699, 56.5551, 690.5603, 657.3045, 36.6824, 636.9159, 774.5527, 38.0427, 654.4179, 706.6483, 0.0000}
]
