10 3 [20, 20, 20]
capacities = [100000, 23, 23, 44, 49, 35, 42, 29, 32, 45, 37]
initial     = [50000, 18, 1, 26, 35, 18, 16, 24, 15, 22, 14]
target      = [0, 22, 1, 20, 33, 11, 23, 16, 10, 23, 9]
weights    = [0.000000, 0.321429, 0.050000, 0.497857, 0.140476, 1.000000, 0.504348, 0.796429, 0.796429, 0.114907, 0.879365]
min_ratio  = [0.0000, 0.5727, 0.7000, 0.7000, 0.7000, 0.7000, 0.4870, 0.7000, 0.7000, 0.6696, 0.7000]
points = [(584400.000, 4511800.000), (584157.504, 4511502.803), (584714.066, 4511729.063), (584370.267, 4512147.111), (584131.272, 4511501.749), (584709.927, 4511752.102), (584260.559, 4512225.664), (584127.133, 4511439.094), (584620.283, 4511751.054), (584359.250, 4512155.703), (584121.292, 4511455.379)]
distances = [
{0.0000, 383.5756, 321.9773, 348.3825, 401.4578, 313.6067, 447.9215, 452.4480, 225.6552, 358.0293, 443.2179}
{383.5756, 0.0000, 600.7951, 678.5284, 26.2528, 606.0704, 730.1699, 70.5778, 525.1597, 683.3585, 59.6692}
{321.9773, 600.7951, 0.0000, 541.2598, 625.5559, 23.4073, 672.5182, 654.6538, 96.3267, 554.9015, 652.9043}
{348.3825, 678.5284, 541.2598, 0.0000, 688.1941, 520.9625, 134.9306, 748.6001, 468.3693, 13.9708, 735.1753}
{401.4578, 26.2528, 625.5559, 688.1941, 0.0000, 630.4905, 735.3695, 62.7913, 548.8937, 692.5527, 47.4322}
{313.6067, 606.0704, 23.4073, 520.9625, 630.4905, 0.0000, 652.8346, 661.5303, 89.6505, 534.6666, 659.1935}
{447.9215, 730.1699, 672.5182, 134.9306, 735.3695, 652.8346, 0.0000, 797.8062, 595.5302, 120.9728, 782.7740}
{452.4480, 70.5778, 654.6538, 748.6001, 62.7913, 661.5303, 797.8062, 0.0000, 583.5367, 753.2634, 17.3004}
{225.6552, 525.1597, 96.3267, 468.3693, 548.8937, 89.6505, 595.5302, 583.5367, 0.0000, 481.5382, 580.0135}
{358.0293, 683.3585, 554.9015, 13.9708, 692.5527, 534.6666, 120.9728, 753.2634, 481.5382, 0.0000, 739.6470}
{443.2179, 59.6692, 652.9043, 735.1753, 47.4322, 659.1935, 782.7740, 17.3004, 580.0135, 739.6470, 0.0000}
]
