family_name,active,formulation_type,scope,proof_tag,code_location,activation_condition,representative_D1_count,depends_on_gamma_L,depends_on_gamma_U,depends_on_verified_incumbent,current_ablation_evidence,novelty_status
gini_interval_bounds,True,variable-domain bundle,interval-local,definition/G-domain restriction,src/CplexBaseline.cpp:839; src/PaperK1AmSf.cpp:95,every F0-CLEAN interval,1 G bound bundle,yes,yes,no,required by exact interval scope,standard formulation
direct_gini_cap_floor,True,linear rows,interval-local,multiply gamma bounds by positive nS,src/CplexBaseline.cpp:675-1008,every F0-CLEAN interval,2 rows,yes,yes,no,retained from Round 50 v0,standard formulation
interval_tight_g_times_binary_mccormick_hull,True,linear hull rows,interval-local,binary product convex hull,src/CplexBaseline.cpp:839-1008,each active inventory expansion bit,272 rows (4 x 68 bits),yes,yes,no,retained; exhaustive block is the only F0 removal,standard technique adapted to this problem
final_inventory_penalty_domains,True,variable-domain bundles,interval-local,incumbent penalty budget and exact integer inventory domain,src/Bounds.cpp:473-542; src/CplexBaseline.cpp:470-675,every station after domain propagation,12 station bundles; individual bound changes not separately serialized,yes,yes,yes,retained from v0,standard technique adapted to this problem
movement_reachability_domains,True,variable-domain bundles,global then intersected locally,"capacity, handling, and depot return reachability",src/Bounds.cpp:694-699; src/CplexBaseline.cpp:470-499,reachable station/vehicle domains,12 station bundles; tightened-bound count not exposed by standalone comparator,no,no,no,retained from v0,standard technique adapted to this problem
inventory_conservation,True,linear rows,global,original inventory balance,src/CplexBaseline.cpp,every compact model,2 aggregate conservation rows plus original station equations,no,no,no,essential original formulation,standard formulation
visit_inventory_linking,True,linear rows,global,no visit implies Y_i=b_i,src/CplexBaseline.cpp,every station,24 rows (2 x 12 stations),no,no,no,retained from v0,standard formulation
verified_incumbent_objective_row,True,linear cutoff row,interval-local,every strict improver obeys verified cutoff,src/CplexBaseline.cpp,verified incumbent available,1 row,yes,yes,yes,required by no-improver model,standard technique adapted to this problem
objective_lower_estimator,True,linear row,interval-local,denominator upper-bound estimator,src/CplexBaseline.cpp:1120; src/CplexBaseline.cpp:2930-2944,adaptive estimator enabled,1 row,yes,yes,yes,retained from v0,standard technique adapted to this problem
penalty_lower_bound_closure,True,linear/domain closure,interval-local,station-domain penalty minimum,src/CplexBaseline.cpp:1121; src/CplexBaseline.cpp:2991,finite domain penalty lower bound,1 row/closure check; an extra infeasibility closure can be implied,yes,yes,yes,retained from v0,standard technique adapted to this problem
sp_product_mccormick_rows,True,linear hull relaxation,interval-local,McCormick envelope on valid S/P box,src/CplexBaseline.cpp:2959-2971,paper-safe SP estimator enabled,4 rows and 1 W_SP column,yes,yes,yes,retained from v0,standard formulation
sp_product_objective_estimator,True,linear row,interval-local,valid lifted no-improver inequality,src/CplexBaseline.cpp:2950-2981,paper-safe SP estimator enabled,1 row,yes,yes,yes,retained from v0,standard technique adapted to this problem
pair_support_duration_cover,True,linear cover rows,global,exact small-support depot-cycle lower bound,src/CplexBaseline.cpp:1798-1842,every vehicle/station pair,"198 rows (3 x C(12,2))",no,no,no,retained while exhaustive block removed,standard technique adapted to this problem
triple_support_duration_cover,True,linear cover rows,global,exact small-support depot-cycle lower bound,src/CplexBaseline.cpp:1798-1842,every vehicle/station triple,"660 rows (3 x C(12,3))",no,no,no,retained while exhaustive block removed,standard technique adapted to this problem
connectivity_flow_formulation,True,extended formulation,global,single-commodity depot connectivity,src/CplexBaseline.cpp; src/PaperK1AmSf.cpp:46-47,round20-current root connectivity flow,507 rows and 468 columns,no,no,no,retained from Round 53,standard formulation
iterative_domain_propagation,True,bound propagation,interval-local,monotone intersection of proved domains,src/Bounds.cpp; src/PaperK1AmSf.cpp:27-28,two frozen rounds,2 rounds; per-bound changes not separately serialized,yes,yes,yes,retained from v0,standard technique adapted to this problem
tight_denominator_bounds,True,variable-domain computation,interval-local,valid extrema of denominator over current inventory domains,src/Bounds.cpp; src/PaperK1AmSf.cpp:25,every interval,1 S-domain bundle (12 station contributions),yes,yes,yes,retained from v0,standard technique adapted to this problem
exhaustive_subset_duration_block,False,exponential linear row family,global,historical subset tour-duration implication,src/CplexBaseline.cpp:1740-1798,policy off in F0-CLEAN,0 rows,no,no,no,Round 53 F0 qualification supports omission,inactive research family
gini_spread_cuts,False,linear rows,interval-local,historical valid ratio-spread bounds,src/TailoredBCCplexApi.cpp,stable preset forces off,0 rows,yes,yes,no,not part of F0-CLEAN identity,inactive research family
required_movement_cuts,False,linear rows,interval-local,historical domain-implied movement,src/TailoredBCCplexApi.cpp,stable preset forces off,0 rows,yes,yes,yes,not part of F0-CLEAN identity,inactive research family
transfer_cutset_cuts,False,linear rows,global,historical empty-start transfer conservation,src/TailoredBCCplexApi.cpp,stable preset forces off,0 rows,no,no,no,not part of F0-CLEAN identity,inactive research family
subset_inventory_cuts,False,linear rows,interval-local,historical subset movement bounds,src/TailoredBCCplexApi.cpp,stable preset forces off,0 rows,yes,yes,yes,not part of F0-CLEAN identity,inactive research family
