run_id,stage,instance,instance_class,arm,flow_variant,nominal_process_wall_seconds,native_time_limit_seconds,finalization_reserve_seconds,actual_runtime_seconds,final_process_wall_time_seconds,solver_status,native_status_code,native_status_text,strict_certificate_class,strict_certified_original_problem,strict_rejection_reason,native_objective,native_best_bound,verified_incumbent_objective,serialized_lower_bound,serialized_upper_bound,serialized_gap,native_absolute_gap,native_signed_bound_residual,native_bound_inversion,native_project_relative_gap,native_cplex_relative_gap,verified_absolute_gap,verified_signed_bound_residual,verified_bound_inversion,verified_project_relative_gap,nodes_processed,open_nodes,native_solution_count,simplex_iterations,simplex_iterations_per_processed_node,nodes_per_second,time_to_first_gini_branch,gini_branch_count,ordinary_branch_count,maximum_gini_sibling_delay,native_cut_counts,root_model_rows,root_model_columns,root_model_nonzeros,first_valid_lb_improvement_seconds,last_valid_lb_improvement_seconds,bound_trajectory_path,executable_sha256,root_uncut_relaxation,post_root_cut_relaxation,root_lp_time_seconds,root_completion_elapsed_seconds,maximum_tree_memory_mb,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,branch_and_cut_time_seconds
stage0__high_imbalance_seed3202__f2__30s,stage0,high_imbalance_seed3202,V20-control,F2,normalized,30,28.0,2.0,28.1325981,28.1364265,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.6375586386187162,1.7493134520506337,1.6375586386187162,1.7493134520506337,0.06388495629580443,,,False,,,0.11175481343191751,0.11175481343191751,False,0.06388495629580443,3,4,0,18486,6162.0,0.10663785795169768,7.3208799,3,0,0.45623209999999936,cover=4|gub_cover=6|flow_cover=71|clique=1|fractional=0|mir=43|flow_path=0|disjunctive=0|implied_bound=97|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13035,3310,68864,0.0137818,8.0029971,results/gf_global_gini_tree_strict_flow_round/runs/stage0__high_imbalance_seed3202__f2__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3018,1.4325,0.36,7.31,0.01,10578,3250,50386,4752,66,20.8225981
stage0__moderate_seed3301__f2__30s,stage0,moderate_seed3301,V20-primary-regression,F2,normalized,30,28.0,2.0,28.1542462,28.1574998,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.03477256138277038,0.04915255266474515,0.03477256138277038,0.04915255266474515,0.29255838206524876,,,False,,,0.014379991281974772,0.014379991281974772,False,0.29255838206524876,12,11,0,28184,2348.6666666666665,0.42622345186425203,6.2531564,11,0,0.1532152,cover=6|gub_cover=1|flow_cover=28|clique=0|fractional=4|mir=39|flow_path=0|disjunctive=0|implied_bound=20|zero_half=4|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13065,3318,69296,0.017507,6.1535602,results/gf_global_gini_tree_strict_flow_round/runs/stage0__moderate_seed3301__f2__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0348,0.45,6.23,0.01,11835,3223,62963,2258,102,21.9242462
stage0__round21_toy_V2_M1__f0__30s,stage0,round21_toy_V2_M1,Stage0-exact-toy,F0,round20-current,30,28.0,2.0,0.1093152,0.1124716,optimal,101,integer optimal solution,native_exact_optimal,True,none,0,0,0,0,0,0,0,0,False,0,0,0,0,False,0,0,0,1,0,0.0,0.0,-1,0,0,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,111,42,269,0.0011001,0.0011001,results/gf_global_gini_tree_strict_flow_round/runs/stage0__round21_toy_V2_M1__f0__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,,,0.0,0.0,0.0,0,2,0,222,80,0.1093152
stage0__round21_toy_V2_M1__f1__30s,stage0,round21_toy_V2_M1,Stage0-exact-toy,F1,zero-return,30,28.0,2.0,0.1028326,0.1051409,optimal,101,integer optimal solution,native_exact_optimal,True,none,0,0,0,0,0,0,0,0,False,0,0,0,0,False,0,0,0,1,0,0.0,0.0,-1,0,0,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,109,40,261,0.0012772,0.0012772,results/gf_global_gini_tree_strict_flow_round/runs/stage0__round21_toy_V2_M1__f1__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,,,0.0,0.0,0.0,0,2,0,218,76,0.1028326
stage0__round21_toy_V2_M1__f2__30s,stage0,round21_toy_V2_M1,Stage0-exact-toy,F2,normalized,30,28.0,2.0,0.1051394,0.1074183,optimal,101,integer optimal solution,native_exact_optimal,True,none,0,0,0,0,0,0,0,0,False,0,0,0,0,False,0,0,0,1,0,0.0,0.0,-1,0,0,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,113,40,269,0.0011969,0.0011969,results/gf_global_gini_tree_strict_flow_round/runs/stage0__round21_toy_V2_M1__f2__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,,,0.0,0.0,0.0,0,2,0,226,76,0.1051394
stage0__round21_toy_V2_M1__f3__30s,stage0,round21_toy_V2_M1,Stage0-exact-toy,F3,normalized-start-coupled,30,28.0,2.0,0.1114814,0.114091,optimal,101,integer optimal solution,native_exact_optimal,True,none,0,0,0,0,0,0,0,0,False,0,0,0,0,False,0,0,0,1,0,0.0,0.0,-1,0,0,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,117,40,283,0.0015734,0.0015734,results/gf_global_gini_tree_strict_flow_round/runs/stage0__round21_toy_V2_M1__f3__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,,,0.0,0.0,0.0,0,2,0,234,76,0.1114814
stage0__round21_toy_V2_M1__off__30s,stage0,round21_toy_V2_M1,Stage0-exact-toy,off,off,30,28.0,2.0,0.1058249,0.1099634,optimal,101,integer optimal solution,native_exact_optimal,True,none,0,0,0,0,0,0,0,0,False,0,0,0,0,False,0,0,0,1,0,0.0,0.0,-1,0,0,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,102,36,241,0.0014827,0.0014827,results/gf_global_gini_tree_strict_flow_round/runs/stage0__round21_toy_V2_M1__off__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,,,0.0,0.0,0.0,0,2,0,204,68,0.1058249
stage0__tight_T_seed3101__f2__30s,stage0,tight_T_seed3101,V20-control,F2,normalized,30,28.0,2.0,28.1611558,28.1636297,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.014983326841413735,0.10725273413394144,0.014983326841413735,0.10725273413394144,0.860298882239198,,,False,,,0.09226940729252771,0.09226940729252771,False,0.860298882239198,4,5,0,24540,6135.0,0.1420396246662575,6.9229534,4,0,0.8567537999999999,cover=1|gub_cover=4|flow_cover=88|clique=0|fractional=4|mir=34|flow_path=0|disjunctive=0|implied_bound=63|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13079,3322,69330,0.0174264,6.8208015,results/gf_global_gini_tree_strict_flow_round/runs/stage0__tight_T_seed3101__f2__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0029,0.015,0.8,6.91,0.01,11277,3204,61658,3404,156,21.2511558
stage0__V12_M1__f2__30s,stage0,V12_M1,V12-control,F2,normalized,30,28.0,2.0,28.1004581,28.102852,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.3296291876604862,0.3572005832084155,0.3296291876604862,0.3572005832084155,0.07718743149935522,,,False,,,0.02757139554792931,0.02757139554792931,False,0.07718743149935522,907,294,0,85275,94.01874310915105,32.277053874790745,1.9983088,104,506,9.7480008,cover=3|gub_cover=0|flow_cover=6|clique=43|fractional=2|mir=10|flow_path=0|disjunctive=0|implied_bound=113|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=4|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,6357,634,59447,0.0064627,14.899257,results/gf_global_gini_tree_strict_flow_round/runs/stage0__V12_M1__f2__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.1965,0.2411,0.08,2.0,13.79,5476,608,55679,1690,4,26.1004581
stage0__V12_M2__f2__30s,stage0,V12_M2,V12-control,F2,normalized,30,28.0,2.0,28.1868706,28.1906197,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.665310725051327,0.7185040707549709,0.665310725051327,0.7185040707549709,0.07403346462289456,,,False,,,0.05319334570364387,0.05319334570364387,False,0.07403346462289456,359,118,0,59625,166.08635097493035,12.736426299129496,3.0651894,51,188,9.2323312,cover=4|gub_cover=2|flow_cover=41|clique=9|fractional=2|mir=26|flow_path=0|disjunctive=0|implied_bound=61|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11615,1008,113920,0.0062651,13.8578879,results/gf_global_gini_tree_strict_flow_round/runs/stage0__V12_M2__f2__30s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.3423,0.3793,0.22,3.06,3.67,10334,981,107714,2472,12,25.1268706
