12 1 [20]
capacities = [100000, 41, 35, 34, 44, 39, 34, 28, 38, 30, 43, 41, 47]
initial     = [50000, 31, 6, 7, 15, 36, 11, 18, 10, 29, 34, 36, 2]
target      = [0, 6, 23, 26, 18, 28, 30, 24, 19, 7, 26, 8, 25]
weights    = [0.000000, 1.000000, 0.218522, 0.216615, 0.088000, 0.115143, 0.194400, 0.107000, 0.158000, 0.766571, 0.120154, 0.848000, 0.259760]
min_ratio  = [0.0000, 0.7000, 0.1826, 0.1885, 0.5833, 0.7000, 0.2567, 0.5250, 0.3684, 0.7000, 0.7000, 0.7000, 0.0560]
points = [(584400.000, 4511800.000), (584192.866, 4511525.863), (584655.181, 4511651.897), (584243.324, 4512105.242), (584030.501, 4511480.988), (584649.566, 4511662.503), (584308.599, 4512159.556), (584142.616, 4511431.259), (584801.951, 4511679.414), (584336.238, 4512118.536), (584204.647, 4511430.515), (584757.435, 4511757.925), (584273.605, 4512290.212)]
distances = [
{0.0000, 343.5921, 295.0453, 343.1038, 488.1580, 284.9367, 370.9913, 449.6850, 419.6494, 324.8550, 417.9496, 359.9034, 506.2449}
{343.5921, 0.0000, 479.1865, 581.5721, 168.4525, 476.7029, 644.1744, 107.1217, 628.1423, 609.7675, 96.0734, 610.4027, 768.6015}
{295.0453, 479.1865, 0.0000, 612.4932, 647.6382, 11.9998, 614.6838, 558.0357, 149.3275, 565.2224, 501.9867, 147.3021, 743.6710}
{343.1038, 581.5721, 612.4932, 0.0000, 659.5351, 600.8755, 84.9168, 681.4661, 702.4200, 93.8600, 675.8349, 620.4354, 187.4322}
{488.1580, 168.4525, 647.6382, 659.5351, 0.0000, 645.1278, 733.3436, 122.6498, 796.5605, 707.0657, 181.3136, 777.8998, 844.9514}
{284.9367, 476.7029, 11.9998, 600.8755, 645.1278, 0.0000, 602.7608, 557.2004, 153.3202, 553.3003, 501.7682, 144.0179, 731.6876}
{370.9913, 644.1744, 614.6838, 84.9168, 733.3436, 602.7608, 0.0000, 746.9722, 688.4272, 49.4624, 736.4148, 602.2967, 135.2616}
{449.6850, 107.1217, 558.0357, 681.4661, 122.6498, 557.2004, 746.9722, 0.0000, 704.4883, 714.0304, 62.0355, 696.2138, 868.8840}
{419.6494, 628.1423, 149.3275, 702.4200, 796.5605, 153.3202, 688.4272, 704.4883, 0.0000, 640.0912, 647.0879, 90.2528, 807.6040}
{324.8550, 609.7675, 565.2224, 93.8600, 707.0657, 553.3003, 49.4624, 714.0304, 640.0912, 0.0000, 700.4919, 554.4798, 182.7449}
{417.9496, 96.0734, 501.9867, 675.8349, 181.3136, 501.7682, 736.4148, 62.0355, 647.0879, 700.4919, 0.0000, 642.4735, 862.4585}
{359.9034, 610.4027, 147.3021, 620.4354, 777.8998, 144.0179, 602.2967, 696.2138, 90.2528, 554.4798, 642.4735, 0.0000, 719.3206}
{506.2449, 768.6015, 743.6710, 187.4322, 844.9514, 731.6876, 135.2616, 868.8840, 807.6040, 182.7449, 862.4585, 719.3206, 0.0000}
]
