50 3 [20, 20, 20]
capacities = [100000, 28, 31, 49, 43, 36, 21, 20, 23, 24, 50, 33, 26, 40, 38, 40, 33, 45, 23, 38, 43, 27, 31, 23, 33, 45, 38, 30, 23, 25, 36, 35, 50, 28, 45, 22, 33, 25, 49, 35, 37, 35, 47, 47, 44, 40, 44, 31, 49, 42, 33]
initial     = [50000, 2, 24, 10, 41, 33, 13, 15, 0, 16, 43, 7, 24, 35, 31, 32, 4, 41, 5, 31, 8, 27, 6, 17, 7, 7, 34, 6, 21, 22, 35, 27, 46, 4, 4, 20, 29, 0, 43, 31, 31, 34, 9, 42, 40, 38, 11, 27, 9, 37, 26]
target      = [0, 26, 2, 43, 6, 2, 3, 3, 19, 7, 3, 24, 1, 12, 5, 1, 24, 15, 16, 6, 32, 6, 23, 3, 24, 30, 2, 30, 5, 6, 8, 3, 15, 24, 31, 5, 4, 20, 12, 9, 4, 4, 44, 1, 14, 11, 40, 6, 46, 10, 4]
weights    = [0.000000, 0.071388, 0.304878, 0.067782, 0.185163, 0.409146, 0.127236, 0.142683, 0.073171, 0.079791, 0.358943, 0.066413, 0.582927, 0.094411, 0.170488, 0.768293, 0.069309, 0.090163, 0.065930, 0.146545, 0.067378, 0.131098, 0.067126, 0.158130, 0.066413, 0.067764, 0.420732, 0.068537, 0.124146, 0.111789, 0.128201, 0.235366, 0.097886, 0.069309, 0.070181, 0.119512, 0.194817, 0.073171, 0.109858, 0.106640, 0.206402, 0.223780, 0.068431, 1.000000, 0.093031, 0.106874, 0.066799, 0.131098, 0.068637, 0.112561, 0.177439]
min_ratio  = [0.0000, 0.0538, 0.7000, 0.1628, 0.7000, 0.7000, 0.7000, 0.7000, 0.0000, 0.7000, 0.7000, 0.2042, 0.7000, 0.7000, 0.7000, 0.7000, 0.1167, 0.7000, 0.2188, 0.7000, 0.1750, 0.7000, 0.1826, 0.7000, 0.2042, 0.1633, 0.7000, 0.1400, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.1167, 0.0903, 0.7000, 0.7000, 0.0000, 0.7000, 0.7000, 0.7000, 0.7000, 0.1432, 0.7000, 0.7000, 0.7000, 0.1925, 0.7000, 0.1370, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584168.623, 4511581.324), (584712.378, 4511702.535), (584294.935, 4512176.904), (584098.872, 4511554.843), (584662.228, 4511777.501), (584355.193, 4512195.726), (584173.235, 4511525.505), (584670.817, 4511795.700), (584384.902, 4512184.581), (584139.126, 4511500.632), (584648.364, 4511838.415), (584372.827, 4512197.654), (584167.663, 4511437.809), (584618.241, 4511733.349), (584273.027, 4512141.309), (584069.387, 4511521.967), (584630.074, 4511676.126), (584259.619, 4512192.520), (584104.850, 4511415.113), (584698.669, 4511694.616), (584329.402, 4512217.326), (584167.449, 4511458.363), (584663.231, 4511732.084), (584358.216, 4512267.100), (584152.088, 4511415.696), (584724.761, 4511704.447), (584258.653, 4512277.481), (584046.873, 4511468.832), (584668.815, 4511810.156), (584339.836, 4512159.955), (584053.089, 4511470.688), (584638.395, 4511747.361), (584403.758, 4512227.496), (584080.959, 4511536.538), (584700.094, 4511748.478), (584331.275, 4512144.200), (584063.213, 4511535.076), (584682.958, 4511809.252), (584376.937, 4512212.562), (584104.367, 4511490.377), (584778.463, 4511755.070), (584270.233, 4512303.846), (584119.129, 4511564.740), (584722.778, 4511790.822), (584368.769, 4512266.010), (584065.697, 4511497.342), (584708.722, 4511689.807), (584399.190, 4512165.059), (584083.871, 4511552.522), (584699.792, 4511831.001)]
distances = [
{0.0000, 318.3619, 327.2299, 391.2741, 388.3044, 263.1917, 398.2546, 356.0472, 270.8506, 384.8776, 397.0848, 251.3173, 398.5809, 430.3056, 228.1922, 364.1624, 431.9804, 261.3026, 416.8683, 485.0268, 316.7158, 423.2557, 413.2745, 271.8514, 468.9657, 457.3285, 338.5261, 497.9632, 484.1186, 269.0071, 364.9486, 478.3238, 244.1377, 427.5127, 413.7621, 304.4846, 350.9945, 428.4974, 283.1096, 413.2062, 428.0947, 381.1205, 520.2883, 366.3824, 322.9087, 467.0550, 450.9550, 327.7984, 365.0603, 401.4759, 301.3909}
{318.3619, 0.0000, 557.1006, 608.8269, 74.6094, 531.1603, 642.1041, 56.0090, 546.0356, 640.8554, 85.9145, 544.2857, 649.2774, 143.5182, 474.6239, 569.6345, 115.6332, 471.0886, 617.9329, 178.0253, 542.0180, 656.0098, 122.9668, 517.0741, 711.5015, 166.4510, 569.6033, 701.9544, 165.7636, 550.0510, 603.4298, 159.9642, 498.2509, 687.6240, 98.4415, 557.1369, 585.9055, 115.1093, 562.5761, 664.7226, 111.3563, 634.1072, 729.6314, 52.1992, 592.4330, 713.3392, 132.8414, 550.8857, 627.6209, 89.5126, 586.9234}
{327.2299, 557.1006, 0.0000, 631.8899, 631.0332, 90.1937, 608.9489, 567.4630, 102.0148, 582.7602, 607.7683, 150.2040, 600.3643, 605.6355, 99.0514, 620.9287, 667.8634, 86.4367, 667.1406, 672.0870, 15.8315, 641.6235, 597.1326, 57.3460, 666.4573, 629.4446, 12.5295, 732.4137, 705.3465, 116.1034, 589.9331, 698.8668, 86.5031, 608.9586, 652.8738, 47.5571, 583.3593, 670.4156, 110.6984, 610.4492, 643.9625, 84.4227, 746.3691, 609.0419, 88.8972, 659.9778, 678.4543, 13.2427, 558.5834, 646.1616, 129.0814}
