12 3 [20, 20, 20]
capacities = [100000, 48, 40, 39, 31, 22, 42, 44, 50, 28, 27, 21, 40]
initial     = [50000, 13, 12, 11, 20, 14, 31, 29, 16, 9, 20, 0, 27]
target      = [0, 13, 13, 21, 27, 9, 15, 16, 33, 16, 13, 1, 27]
weights    = [0.000000, 0.050000, 0.118510, 0.474107, 0.280903, 0.544792, 1.000000, 0.773633, 0.508807, 0.439648, 0.529567, 0.940625, 0.050000]
min_ratio  = [0.0000, 0.7000, 0.6462, 0.3667, 0.5185, 0.7000, 0.7000, 0.7000, 0.3394, 0.3937, 0.7000, 0.0000, 0.7000]
points = [(584400.000, 4511800.000), (584102.408, 4511479.147), (584733.013, 4511803.665), (584268.725, 4512257.601), (584050.328, 4511420.830), (584629.424, 4511824.619), (584325.894, 4512199.351), (584185.826, 4511462.063), (584774.426, 4511719.921), (584262.968, 4512159.445), (584053.193, 4511514.120), (584677.786, 4511796.806), (584321.367, 4512135.716)]
distances = [
{0.0000, 437.6161, 333.0330, 476.0588, 515.7910, 230.7410, 406.1690, 400.0897, 382.8934, 384.6794, 449.4470, 277.8041, 344.8025}
{437.6161, 0.0000, 709.2070, 796.0232, 78.1867, 630.1564, 754.0827, 85.1490, 713.8489, 698.9887, 60.3761, 657.2420, 692.1178}
{333.0330, 709.2070, 0.0000, 649.3238, 782.7012, 105.6871, 567.7269, 645.0623, 93.4243, 589.5093, 738.9124, 55.6514, 528.8767}
{476.0588, 796.0232, 649.3238, 0.0000, 864.8025, 563.5396, 81.6167, 799.8455, 738.1284, 98.3251, 774.0921, 616.1677, 132.7669}
{515.7910, 78.1867, 782.7012, 864.8025, 0.0000, 705.9730, 825.8522, 141.6327, 783.4367, 768.6141, 93.3339, 731.4788, 764.5422}
{230.7410, 630.1564, 105.6871, 563.5396, 705.9730, 0.0000, 482.2392, 572.9103, 178.8501, 496.3847, 654.5626, 55.7892, 437.8133}
{406.1690, 754.0827, 567.7269, 81.6167, 825.8522, 482.2392, 0.0000, 750.4749, 656.5324, 74.5126, 737.5011, 534.6687, 63.7957}
{400.0897, 85.1490, 645.0623, 799.8455, 141.6327, 572.9103, 750.4749, 0.0000, 642.6046, 701.6351, 142.4829, 595.0441, 687.1535}
{382.8934, 713.8489, 93.4243, 738.1284, 783.4367, 178.8501, 656.5324, 642.6046, 0.0000, 674.3665, 750.0208, 123.4936, 614.9377}
{384.6794, 698.9887, 589.5093, 98.3251, 768.6141, 496.3847, 74.5126, 701.6351, 674.3665, 0.0000, 678.5646, 550.9812, 63.0352}
{449.4470, 60.3761, 738.9124, 774.0921, 93.3339, 654.5626, 737.5011, 142.4829, 750.0208, 678.5646, 0.0000, 685.5857, 676.9783}
{277.8041, 657.2420, 55.6514, 616.1677, 731.4788, 55.7892, 534.6687, 595.0441, 123.4936, 550.9812, 685.5857, 0.0000, 491.8277}
{344.8025, 692.1178, 528.8767, 132.7669, 764.5422, 437.8133, 63.7957, 687.1535, 614.9377, 63.0352, 676.9783, 491.8277, 0.0000}
]
