10 2 [30, 30]
capacities = [100000, 20, 48, 42, 22, 32, 41, 25, 21, 40, 40]
initial     = [50000, 18, 22, 32, 22, 21, 25, 22, 16, 25, 22]
target      = [0, 5, 27, 33, 15, 14, 29, 14, 8, 12, 12]
weights    = [0.000000, 1.000000, 0.117664, 0.061072, 0.220513, 0.232692, 0.100398, 0.258791, 0.415385, 0.445833, 0.354487]
min_ratio  = [0.0000, 0.7000, 0.5704, 0.6788, 0.7000, 0.7000, 0.6034, 0.7000, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584089.534, 4511447.111), (584673.917, 4511780.080), (584295.245, 4512302.328), (584126.875, 4511567.965), (584774.125, 4511812.729), (584344.061, 4512162.174), (584138.634, 4511518.816), (584782.753, 4511721.942), (584362.282, 4512272.981), (584179.028, 4511433.119)]
distances = [
{0.0000, 470.0211, 274.6401, 513.1348, 358.3817, 374.3418, 366.4684, 383.8965, 390.6313, 474.4826, 428.2879}
{470.0211, 0.0000, 672.5857, 879.6103, 126.4915, 776.1066, 759.0123, 86.9049, 745.7103, 869.7431, 90.5807}
{274.6401, 672.5857, 0.0000, 645.0856, 586.7259, 105.3930, 504.7774, 595.6395, 123.3911, 583.1533, 604.3982}
{513.1348, 879.6103, 645.0856, 0.0000, 753.4177, 684.8607, 148.4126, 799.0110, 757.9660, 73.1789, 876.9445}
{358.3817, 126.4915, 586.7259, 753.4177, 0.0000, 691.9841, 632.6565, 50.5359, 673.7093, 743.2792, 144.5799}
{374.3418, 776.1066, 105.3930, 684.8607, 691.9841, 0.0000, 554.1363, 700.1669, 91.1960, 617.6144, 705.8645}
{366.4684, 759.0123, 504.7774, 148.4126, 632.6565, 554.1363, 0.0000, 675.3590, 621.4938, 112.2951, 747.5008}
{383.8965, 86.9049, 595.6395, 799.0110, 50.5359, 700.1669, 675.3590, 0.0000, 675.3879, 786.6276, 94.7400}
{390.6313, 745.7103, 123.3911, 757.9660, 673.7093, 91.1960, 621.4938, 675.3879, 0.0000, 693.1381, 669.2551}
{474.4826, 869.7431, 583.1533, 73.1789, 743.2792, 617.6144, 112.2951, 786.6276, 693.1381, 0.0000, 859.6223}
{428.2879, 90.5807, 604.3982, 876.9445, 144.5799, 705.8645, 747.5008, 94.7400, 669.2551, 859.6223, 0.0000}
]
