20 3 [30, 30, 30]
capacities = [100000, 42, 28, 31, 34, 37, 26, 26, 35, 24, 40, 38, 42, 29, 38, 46, 40, 27, 34, 38, 28]
initial     = [50000, 34, 26, 4, 6, 36, 6, 22, 2, 20, 40, 0, 37, 2, 8, 46, 3, 26, 30, 37, 20]
target      = [0, 7, 1, 25, 27, 10, 23, 4, 32, 3, 4, 37, 10, 22, 26, 11, 30, 5, 4, 8, 5]
weights    = [0.000000, 0.196571, 1.000000, 0.081920, 0.079556, 0.148800, 0.078087, 0.221000, 0.085625, 0.265333, 0.392000, 0.088000, 0.152600, 0.084545, 0.076308, 0.170909, 0.084200, 0.209600, 0.297000, 0.187750, 0.164000]
min_ratio  = [0.0000, 0.7000, 0.7000, 0.1120, 0.1556, 0.7000, 0.1826, 0.7000, 0.0437, 0.7000, 0.7000, 0.0000, 0.7000, 0.0636, 0.2154, 0.7000, 0.0700, 0.7000, 0.7000, 0.7000, 0.7000]
points = [(584400.000, 4511800.000), (584171.202, 4511498.679), (584720.377, 4511750.452), (584299.188, 4512216.284), (584161.434, 4511484.565), (584654.852, 4511799.461), (584386.788, 4512260.311), (584174.101, 4511578.922), (584655.294, 4511711.775), (584326.894, 4512138.044), (584127.301, 4511433.076), (584675.256, 4511804.032), (584328.226, 4512193.158), (584057.866, 4511469.637), (584656.856, 4511769.293), (584382.090, 4512183.833), (584125.734, 4511552.164), (584660.596, 4511693.443), (584400.983, 4512299.698), (584199.091, 4511542.804), (584729.836, 4511748.072)]
distances = [
{0.0000, 378.3423, 324.1856, 428.3173, 395.4904, 254.8526, 460.5009, 316.0786, 270.1084, 345.8586, 457.1627, 275.2856, 399.6556, 475.6001, 258.6852, 384.2509, 369.6548, 281.5395, 499.6988, 326.3657, 333.8983}
{378.3423, 0.0000, 604.1377, 728.9294, 17.1640, 569.5499, 791.5562, 80.2958, 528.9182, 658.0484, 78.9367, 589.3311, 712.0093, 116.9978, 555.9603, 716.8751, 70.1998, 526.7248, 833.3249, 52.1992, 611.7748}
{324.1856, 604.1377, 0.0000, 628.0127, 618.9606, 81.8254, 609.2935, 572.5727, 75.7081, 552.3191, 672.6557, 70.0483, 591.4147, 719.5675, 66.2560, 549.7799, 626.8320, 82.6063, 635.3612, 561.1212, 9.7536}
{428.3173, 728.9294, 628.0127, 0.0000, 744.5731, 547.9404, 98.0412, 649.5207, 617.5283, 83.0011, 801.8481, 558.0132, 37.1215, 784.6776, 572.4752, 89.0264, 686.3981, 635.5930, 131.6052, 680.8787, 636.1446}
{395.4904, 17.1640, 618.9606, 744.5731, 0.0000, 585.3377, 807.8158, 95.2036, 543.6186, 674.1005, 61.7754, 605.0388, 727.9579, 104.6387, 571.4128, 733.2560, 76.4469, 541.1024, 849.6026, 69.3520, 626.5109}
{254.8526, 569.5499, 81.8254, 547.9404, 585.3377, 0.0000, 533.1432, 528.9223, 87.6873, 471.3755, 642.2986, 20.9099, 511.5488, 682.0382, 30.2344, 471.3190, 584.0564, 106.1734, 560.9694, 523.0597, 90.9030}
{460.5009, 791.5562, 609.2935, 98.0412, 807.8158, 533.1432, 0.0000, 713.8114, 610.7273, 136.1491, 866.9784, 539.8189, 89.1019, 856.3620, 560.3892, 76.6223, 754.7331, 629.5320, 41.8663, 741.6520, 616.4989}
{316.0786, 80.2958, 572.5727, 649.5207, 95.2036, 528.9223, 713.8114, 0.0000, 499.1955, 579.6229, 153.1710, 549.3914, 633.2768, 159.5427, 518.9350, 639.6689, 55.2757, 499.7919, 755.6405, 43.9209, 580.9068}
{270.1084, 528.9182, 75.7081, 617.5283, 543.6186, 87.6873, 610.7273, 499.1955, 0.0000, 538.1001, 597.0333, 94.3926, 581.9822, 644.6320, 57.5394, 545.4171, 553.0907, 19.0831, 640.5682, 486.4899, 82.9097}
{345.8586, 658.0484, 552.3191, 83.0011, 674.1005, 471.3755, 136.1491, 579.6229, 538.1001, 0.0000, 732.6780, 482.6176, 55.1299, 720.5166, 494.8255, 71.7159, 619.4521, 555.9017, 177.8232, 608.8060, 560.7494}
{457.1627, 78.9367, 672.6557, 801.8481, 61.7754, 642.2986, 866.9784, 153.1710, 597.0333, 732.6780, 0.0000, 661.7121, 786.1900, 78.4726, 627.2719, 792.8136, 119.0982, 593.4590, 908.8096, 131.1253, 679.9045}
