family,st_k2_i,st_k2_p_core,st_k2_p_extended,notes
direct_gini_cap_floor,native_indicator,native_indicator,fully_disaggregated_selected_S_H,"Extended uses H_k <= V u_k S_k and H_k >= V l_k S_k"
interval_tight_mccormick_G_bit,native_indicator,fully_perspective_disaggregated,fully_perspective_disaggregated,"Core/Extended replace interval rows with G_k,w_jk,q_jk and aggregation"
objective_estimator_cutoff,native_indicator,native_indicator,fully_disaggregated_selected_S_P_H,"Extended uses segment-specific S upper bound"
penalty_lower_bound_closure,native_indicator,native_indicator,exact_selected_copy_aggregation,"Extended enforces P_k >= P_Lk z_k"
gini_spread,native_indicator,native_indicator,native_indicator,"Complete row-factory family retained"
required_movement,native_indicator,native_indicator,native_indicator,"Complete row-factory family retained"
low_gini_centering,native_indicator,native_indicator,native_indicator,"No route/inventory disaggregation"
variable_S_centering,native_indicator,native_indicator,native_indicator,"S_k alone cannot replace original stationwise centered rows exactly"
SP_product_estimator,native_indicator,native_indicator,fully_disaggregated_selected_S_P_H_WSP,"Segment-bound McCormick envelope for WSP_k plus selected estimator"
inventory_Y_domains,exact_selector_aggregation,exact_selector_aggregation,exact_selector_aggregation,"Y_i lower/upper bounds aggregated over z_k"
ratio_sum_S_domain,exact_selector_aggregation,exact_selector_aggregation,exact_selector_aggregation,"S lower/upper bounds aggregated over z_k"
weighted_penalty_P_domain,exact_selector_aggregation,exact_selector_aggregation,exact_selector_aggregation,"P lower/upper bounds aggregated over z_k"
G_interval_domain,exact_selector_aggregation,fully_perspective_disaggregated,fully_perspective_disaggregated,"I aggregates G bounds; perspective arms also impose G=sum G_k"
