12 3 [20, 20, 20]
capacities = [100000, 31, 31, 38, 32, 27, 21, 47, 23, 35, 34, 45, 35]
initial     = [50000, 4, 30, 26, 4, 19, 21, 13, 23, 20, 7, 26, 7]
target      = [0, 17, 19, 16, 14, 10, 9, 26, 11, 20, 18, 26, 17]
weights    = [0.000000, 0.637500, 0.519079, 0.548437, 0.605357, 0.723750, 1.000000, 0.468750, 0.845455, 0.150000, 0.539583, 0.150000, 0.525000]
min_ratio  = [0.000000, 0.152941, 0.650000, 0.650000, 0.185714, 0.650000, 0.650000, 0.325000, 0.650000, 0.650000, 0.252778, 0.650000, 0.267647]
points = [(584400.000, 4511800.000), (585175.565, 4511803.141), (584124.066, 4512493.448), (583867.514, 4511155.830), (585169.027, 4511824.898), (583832.105, 4512662.178), (583911.757, 4511321.734), (585101.378, 4511703.630), (584071.454, 4512498.054), (584068.132, 4511255.435), (585214.558, 4511625.944), (584064.881, 4512485.383), (583951.517, 4511112.938)]
distances = [
{0.0000, 775.5715, 746.3310, 835.7611, 769.4297, 1032.4028, 683.4618, 707.9680, 771.5061, 637.7205, 832.9462, 762.9244, 820.4821}
{775.5715, 0.0000, 1257.8454, 1459.4551, 22.7182, 1594.6253, 1352.3921, 124.1212, 1304.5942, 1235.4716, 181.4362, 1303.4845, 1405.2310}
{746.3310, 1257.8454, 0.0000, 1361.9992, 1240.5252, 337.2104, 1190.7935, 1256.5637, 52.8133, 1239.2760, 1393.4617, 59.7313, 1391.2512}
{835.7611, 1459.4551, 1361.9992, 0.0000, 1463.4164, 1506.7644, 171.7021, 1350.0023, 1357.6291, 223.9838, 1426.7213, 1344.1223, 94.3189}
{769.4297, 22.7182, 1240.5252, 1463.4164, 0.0000, 1577.4656, 1354.2164, 138.8603, 1287.5579, 1239.4585, 204.0972, 1286.6145, 1410.3962}
{1032.4028, 1594.6253, 337.2104, 1506.7644, 1577.4656, 0.0000, 1342.8085, 1590.5561, 290.2147, 1426.4061, 1727.7024, 292.3038, 1553.8346}
{683.4618, 1352.3921, 1190.7935, 171.7021, 1354.2164, 1342.8085, 0.0000, 1249.4176, 1187.1106, 169.8492, 1337.8467, 1173.6803, 212.5473}
{707.9680, 124.1212, 1256.5637, 1350.0023, 138.8603, 1590.5561, 1249.4176, 0.0000, 1300.7128, 1126.2668, 137.2758, 1298.2537, 1292.7098}
{771.5061, 1304.5942, 52.8133, 1357.6291, 1287.5579, 290.2147, 1187.1106, 1300.7128, 0.0000, 1242.6232, 1437.7975, 14.2742, 1390.2982}
{637.7205, 1235.4716, 1239.2760, 223.9838, 1239.4585, 1426.4061, 169.8492, 1126.2668, 1242.6232, 0.0000, 1204.8107, 1229.9518, 184.1315}
{832.9462, 181.4362, 1393.4617, 1426.7213, 204.0972, 1727.7024, 1337.8467, 137.2758, 1437.7975, 1204.8107, 0.0000, 1435.4057, 1363.2488}
{762.9244, 1303.4845, 59.7313, 1344.1223, 1286.6145, 292.3038, 1173.6803, 1298.2537, 14.2742, 1229.9518, 1435.4057, 0.0000, 1377.1181}
{820.4821, 1405.2310, 1391.2512, 94.3189, 1410.3962, 1553.8346, 212.5473, 1292.7098, 1390.2982, 184.1315, 1363.2488, 1377.1181, 0.0000}
]
