10 2 [20, 20]
capacities = [100000, 42, 41, 34, 38, 42, 29, 20, 29, 50, 46]
initial     = [50000, 35, 14, 30, 36, 12, 29, 4, 2, 38, 13]
target      = [0, 22, 24, 22, 24, 24, 17, 12, 13, 29, 24]
weights    = [0.000000, 0.743595, 0.568561, 0.515289, 0.652273, 0.652273, 0.859091, 0.819697, 1.000000, 0.461755, 0.610417]
min_ratio  = [0.000000, 0.650000, 0.379167, 0.650000, 0.650000, 0.325000, 0.650000, 0.216667, 0.100000, 0.650000, 0.352083]
points = [(584400.000, 4511800.000), (583847.812, 4511958.624), (584513.257, 4511178.882), (585170.609, 4512202.890), (583816.567, 4512157.658), (584405.119, 4511184.278), (585183.362, 4512207.766), (583954.850, 4512027.950), (584555.356, 4511195.336), (585115.660, 4512280.294), (583874.351, 4512120.650)]
distances = [
{0.0000, 574.5199, 631.3598, 869.5737, 684.3340, 615.7428, 883.1358, 500.1197, 624.3026, 861.8882, 615.7294}
{574.5199, 0.0000, 1025.0931, 1345.1605, 201.4710, 954.0451, 1358.5892, 127.5273, 1040.7819, 1308.0172, 164.1845}
{631.3598, 1025.0931, 0.0000, 1216.8419, 1201.4074, 108.2733, 1227.8609, 1016.2361, 45.2002, 1255.3875, 1138.0368}
{869.5737, 1345.1605, 1216.8419, 0.0000, 1354.7970, 1274.1841, 13.6533, 1228.2806, 1180.5510, 94.9250, 1298.8637}
{684.3340, 201.4710, 1201.4074, 1354.7970, 0.0000, 1137.4798, 1367.7129, 189.5950, 1213.2072, 1304.8683, 68.6193}
{615.7428, 954.0451, 108.2733, 1274.1841, 1137.4798, 0.0000, 1285.7639, 956.3074, 150.6438, 1306.1849, 1076.3387}
{883.1358, 1358.5892, 1227.8609, 13.6533, 1367.7129, 1285.7639, 0.0000, 1241.6017, 1191.3877, 99.2166, 1311.9062}
{500.1197, 127.5273, 1016.2361, 1228.2806, 189.5950, 956.3074, 1241.6017, 0.0000, 1026.5736, 1187.9210, 122.7732}
{624.3026, 1040.7819, 45.2002, 1180.5510, 1213.2072, 150.6438, 1191.3877, 1026.5736, 0.0000, 1221.0952, 1148.9005}
{861.8882, 1308.0172, 1255.3875, 94.9250, 1304.8683, 1306.1849, 99.2166, 1187.9210, 1221.0952, 0.0000, 1251.5322}
{615.7294, 164.1845, 1138.0368, 1298.8637, 68.6193, 1076.3387, 1311.9062, 122.7732, 1148.9005, 1251.5322, 0.0000}
]
