12 1 [20]
capacities = [100000, 50, 50, 22, 44, 39, 33, 29, 24, 26, 45, 48, 40]
initial     = [50000, 9, 8, 1, 37, 11, 24, 26, 12, 20, 29, 13, 19]
target      = [0, 19, 19, 8, 24, 18, 14, 15, 12, 12, 18, 26, 26]
weights    = [0.000000, 0.661278, 0.712406, 1.000000, 0.676190, 0.527778, 0.843878, 0.862381, 0.150000, 0.797619, 0.743651, 0.635714, 0.411538]
min_ratio  = [0.000000, 0.307895, 0.273684, 0.081250, 0.650000, 0.397222, 0.650000, 0.650000, 0.650000, 0.650000, 0.650000, 0.325000, 0.475000]
points = [(584400.000, 4511800.000), (584869.370, 4512168.692), (583748.595, 4512409.238), (584534.115, 4511061.222), (584804.098, 4512140.690), (583716.409, 4512081.125), (584295.579, 4511194.675), (584851.696, 4512039.606), (583688.802, 4512015.595), (584489.198, 4510992.036), (584840.805, 4512283.569), (583776.143, 4512177.672), (584436.003, 4511185.463)]
distances = [
{0.0000, 596.8600, 891.9073, 750.8528, 528.5504, 739.1399, 614.2653, 511.3123, 743.1584, 812.8726, 654.3303, 729.2691, 615.5909}
{596.8600, 0.0000, 1146.2971, 1157.1025, 71.0242, 1156.2812, 1130.4622, 130.2901, 1190.4536, 1236.5477, 118.3747, 1093.2636, 1074.4984}
{891.9073, 1146.2971, 0.0000, 1560.1884, 1089.1301, 329.6879, 1332.0485, 1163.3820, 398.1581, 1599.0474, 1099.4158, 233.1989, 1403.6217}
{750.8528, 1157.1025, 1560.1884, 0.0000, 1112.7188, 1307.2280, 273.3299, 1028.6368, 1274.9050, 82.4877, 1260.2345, 1349.4376, 158.3093}
{528.5504, 71.0242, 1089.1301, 1112.7188, 0.0000, 1089.3192, 1074.0283, 111.7294, 1122.2905, 1191.0369, 147.5183, 1028.6205, 1023.6963}
{739.1399, 1156.2812, 329.6879, 1307.2280, 1089.3192, 0.0000, 1058.8818, 1136.0457, 71.1078, 1335.4088, 1142.4757, 113.5318, 1148.9236}
{614.2653, 1130.4622, 1332.0485, 273.3299, 1074.0283, 1058.8818, 0.0000, 1011.5209, 1020.8272, 280.2693, 1217.7689, 1111.7985, 140.7257}
{511.3123, 130.2901, 1163.3820, 1028.6368, 111.7294, 1136.0457, 1011.5209, 0.0000, 1163.1420, 1108.5162, 244.2054, 1084.3781, 949.9273}
{743.1584, 1190.4536, 398.1581, 1274.9050, 1122.2905, 71.1078, 1020.8272, 1163.1420, 0.0000, 1299.3487, 1182.7606, 184.1124, 1116.8836}
{812.8726, 1236.5477, 1599.0474, 82.4877, 1191.0369, 1335.4088, 280.2693, 1108.5162, 1299.3487, 0.0000, 1338.5382, 1383.5386, 200.6081}
{654.3303, 118.3747, 1099.4158, 1260.2345, 147.5183, 1142.4757, 1217.7689, 244.2054, 1182.7606, 1338.5382, 0.0000, 1069.9160, 1170.3427}
{729.2691, 1093.2636, 233.1989, 1349.4376, 1028.6205, 113.5318, 1111.7985, 1084.3781, 184.1124, 1383.5386, 1069.9160, 0.0000, 1191.5928}
{615.5909, 1074.4984, 1403.6217, 158.3093, 1023.6963, 1148.9236, 140.7257, 949.9273, 1116.8836, 200.6081, 1170.3427, 1191.5928, 0.0000}
]
