10 1 [30]
capacities = [100000, 50, 23, 37, 36, 32, 25, 28, 48, 33, 27]
initial     = [50000, 10, 22, 27, 30, 1, 25, 10, 28, 8, 4]
target      = [0, 23, 10, 18, 20, 12, 12, 18, 18, 21, 17]
weights    = [0.000000, 0.550362, 1.000000, 0.504167, 0.504167, 0.799306, 0.917361, 0.464815, 0.543519, 0.588492, 0.691667]
min_ratio  = [0.000000, 0.282609, 0.650000, 0.650000, 0.650000, 0.054167, 0.650000, 0.361111, 0.650000, 0.247619, 0.152941]
points = [(584400.000, 4511800.000), (584464.000, 4512615.700), (583299.163, 4511708.332), (584994.724, 4511317.168), (584490.678, 4512989.923), (583526.649, 4511544.854), (584938.845, 4511464.005), (584619.161, 4512406.393), (583665.853, 4511442.567), (584934.071, 4511392.174), (584543.647, 4512754.587)]
distances = [
{0.0000, 818.2069, 1104.6469, 766.0440, 1193.3735, 909.8582, 635.0166, 644.7819, 816.5353, 671.9777, 965.3348}
{818.2069, 0.0000, 1476.5373, 1402.8021, 375.1731, 1423.1444, 1245.7440, 260.5460, 1418.9008, 1310.7186, 160.1040}
{1104.6469, 1476.5373, 0.0000, 1740.0963, 1749.9101, 280.1336, 1657.7849, 1493.2121, 452.8712, 1665.1965, 1625.8507}
{766.0440, 1402.8021, 1740.0963, 0.0000, 1747.0471, 1485.6261, 157.1107, 1152.1542, 1334.7742, 96.4607, 1506.5342}
{1193.3735, 375.1731, 1749.9101, 1747.0471, 0.0000, 1737.1182, 1590.3708, 597.5078, 1753.4674, 1658.1319, 241.2235}
{909.8582, 1423.1444, 280.1336, 1485.6261, 1737.1182, 0.0000, 1414.5083, 1391.3417, 172.7436, 1415.6794, 1580.4243}
{635.0166, 1245.7440, 1657.7849, 157.1107, 1590.3708, 1414.5083, 0.0000, 995.1343, 1273.1721, 71.9901, 1349.7344}
{644.7819, 260.5460, 1493.2121, 1152.1542, 597.5078, 1391.3417, 995.1343, 0.0000, 1355.6382, 1061.9836, 356.2887}
{816.5353, 1418.9008, 452.8712, 1334.7742, 1753.4674, 172.7436, 1273.1721, 1355.6382, 0.0000, 1269.2186, 1578.5813}
{671.9777, 1310.7186, 1665.1965, 96.4607, 1658.1319, 1415.6794, 71.9901, 1061.9836, 1269.2186, 0.0000, 1417.2515}
{965.3348, 160.1040, 1625.8507, 1506.5342, 241.2235, 1580.4243, 1349.7344, 356.2887, 1578.5813, 1417.2515, 0.0000}
]
