10 1 [20]
capacities = [100000, 40, 27, 25, 21, 30, 31, 27, 23, 45, 34]
initial     = [50000, 26, 4, 2, 0, 30, 31, 4, 2, 38, 30]
target      = [0, 14, 15, 9, 12, 19, 20, 11, 9, 27, 20]
weights    = [0.000000, 0.878571, 0.773333, 0.811111, 1.000000, 0.642105, 0.617500, 0.690909, 0.811111, 0.496296, 0.575000]
min_ratio  = [0.000000, 0.650000, 0.173333, 0.144444, 0.000000, 0.650000, 0.650000, 0.236364, 0.144444, 0.650000, 0.650000]
points = [(584400.000, 4511800.000), (584017.706, 4511272.115), (585430.447, 4511486.415), (584285.594, 4512746.102), (584042.477, 4511277.929), (585157.424, 4511744.141), (583838.699, 4512834.915), (584202.106, 4511275.747), (585195.770, 4511773.054), (583827.592, 4512465.713), (583914.599, 4511484.411)]
distances = [
{0.0000, 651.7752, 1077.1057, 952.9940, 632.7567, 759.4806, 1177.3308, 560.3597, 796.2265, 877.9663, 578.9733}
{651.7752, 0.0000, 1428.9021, 1498.1323, 25.4439, 1233.5980, 1573.0182, 184.4356, 1280.1467, 1208.6434, 236.0097}
{1077.1057, 1428.9021, 0.0000, 1702.2045, 1403.5410, 375.4523, 2086.1722, 1246.2755, 370.4529, 1878.3421, 1515.8490}
{952.9940, 1498.1323, 1702.2045, 0.0000, 1488.1660, 1328.1616, 455.6347, 1472.7230, 1332.3823, 537.0138, 1315.1046}
{632.7567, 25.4439, 1403.5410, 1488.1660, 0.0000, 1208.4948, 1570.2646, 159.6439, 1255.0838, 1207.0653, 242.8738}
{759.4806, 1233.5980, 375.4523, 1328.1616, 1208.4948, 0.0000, 1711.3805, 1063.9664, 48.0258, 1512.9834, 1269.6738}
{1177.3308, 1573.0182, 2086.1722, 455.6347, 1570.2646, 1711.3805, 0.0000, 1600.9586, 1723.1340, 369.3690, 1352.6348}
{560.3597, 184.4356, 1246.2755, 1472.7230, 159.6439, 1063.9664, 1600.9586, 0.0000, 1111.1632, 1247.5092, 355.2474}
{796.2265, 1280.1467, 370.4529, 1332.3823, 1255.0838, 48.0258, 1723.1340, 1111.1632, 0.0000, 1533.5215, 1313.2837}
{877.9663, 1208.6434, 1878.3421, 537.0138, 1207.0653, 1512.9834, 369.3690, 1247.5092, 1533.5215, 0.0000, 985.1514}
{578.9733, 236.0097, 1515.8490, 1315.1046, 242.8738, 1269.6738, 1352.6348, 355.2474, 1313.2837, 985.1514, 0.0000}
]
