10 3 [20, 20, 20]
capacities = [100000, 33, 26, 47, 30, 47, 26, 20, 48, 38, 31]
initial     = [50000, 32, 11, 14, 0, 6, 24, 19, 37, 6, 5]
target      = [0, 19, 11, 27, 11, 19, 16, 8, 28, 14, 18]
weights    = [0.000000, 0.572967, 0.150000, 0.447643, 0.768182, 0.572967, 0.459091, 1.000000, 0.348701, 0.503247, 0.596465]
min_ratio  = [0.000000, 0.650000, 0.650000, 0.337037, 0.000000, 0.205263, 0.650000, 0.650000, 0.650000, 0.278571, 0.180556]
points = [(584400.000, 4511800.000), (583966.406, 4511020.263), (585119.135, 4511821.664), (584020.889, 4512656.079), (583859.953, 4510860.549), (585116.294, 4511739.596), (583914.365, 4512904.632), (584260.215, 4511050.127), (585279.455, 4511683.707), (583883.914, 4512644.282), (583945.008, 4510753.451)]
distances = [
{0.0000, 892.1846, 719.4613, 936.2670, 1083.6135, 718.8362, 1206.6700, 762.7900, 887.1104, 989.5232, 1141.1763}
{892.1846, 0.0000, 1403.9328, 1636.7227, 191.9393, 1356.3485, 1885.0870, 295.3231, 1471.1404, 1626.1123, 267.6690}
{719.4613, 1403.9328, 0.0000, 1379.2725, 1584.0707, 82.1172, 1619.9664, 1154.5611, 211.5056, 1484.0726, 1587.3417}
{936.2670, 1636.7227, 1379.2725, 0.0000, 1802.7275, 1428.2340, 270.4182, 1623.6860, 1590.4387, 137.4823, 1904.1405}
{1083.6135, 191.9393, 1584.0707, 1802.7275, 0.0000, 1533.3344, 2044.8064, 442.8879, 1640.9060, 1783.8932, 136.7640}
{718.8362, 1356.3485, 82.1172, 1428.2340, 1533.3344, 0.0000, 1673.9003, 1099.1983, 172.4677, 1528.7958, 1531.1410}
{1206.6700, 1885.0870, 1619.9664, 270.4182, 2044.8064, 1673.9003, 0.0000, 1886.4777, 1831.4282, 262.1247, 2151.3991}
{762.7900, 295.3231, 1154.5611, 1623.6860, 442.8879, 1099.1983, 1886.4777, 0.0000, 1200.1131, 1637.9652, 432.8658}
{887.1104, 1471.1404, 211.5056, 1590.4387, 1640.9060, 172.4677, 1831.4282, 1200.1131, 0.0000, 1694.1779, 1626.6912}
{989.5232, 1626.1123, 1484.0726, 137.4823, 1783.8932, 1528.7958, 262.1247, 1637.9652, 1694.1779, 0.0000, 1891.8176}
{1141.1763, 267.6690, 1587.3417, 1904.1405, 136.7640, 1531.1410, 2151.3991, 432.8658, 1626.6912, 1891.8176, 0.0000}
]
