"file","case","seed","V","M","Q","capacity_min","capacity_max","scenario","total_bikes","total_target","generated_for"
"reference\generated\regen_V8_M2_average.txt","V8_M2_average","8201","8","2","20;20","27","45","average","116","144","engineering_scalability"
"reference\generated\regen_V10_M1_average.txt","V10_M1_average","10031","10","1","30","28","41","average","152","180","engineering_scalability"
"reference\generated\regen_V10_M2_average.txt","V10_M2_average","10032","10","2","20;20","24","49","average","153","184","engineering_scalability"
"reference\generated\regen_V10_M2_low.txt","V10_M2_low","10033","10","2","20;20","27","48","low","185","165","engineering_scalability"
"reference\generated\regen_V20_M2_average.txt","V20_M2_average","20032","20","2","30;30","27","50","average","415","392","engineering_scalability"
"reference\generated\regen_V20_M3_low.txt","V20_M3_low","20033","20","3","20;20;20","25","49","low","286","344","engineering_scalability"
"reference\generated\regen_V50_M3_average.txt","V50_M3_average","50033","50","3","30;30;30","24","49","average","994","993","engineering_scalability"
"reference\generated\regen_V50_M5_low.txt","V50_M5_low","50035","50","5","20;20;20;20;20","24","50","low","845","767","engineering_scalability"
"reference\generated\regen_V70_M5_average.txt","V70_M5_average","70035","70","5","30;30;30;30;30","24","50","average","1444","1378","engineering_scalability"
"reference\generated\regen_V100_M5_average.txt","V100_M5_average","100055","100","5","30;30;30;30;30","24","50","average","2010","2040","engineering_scalability"
"reference\generated\regen_V100_M8_low.txt","V100_M8_low","100088","100","8","20;20;20;20;20;20;20;20","24","50","low","1400","1443","engineering_scalability"
