50 3 [20, 20, 20]
capacities = [100000, 46, 30, 23, 27, 20, 32, 20, 23, 46, 42, 49, 42, 37, 21, 48, 45, 31, 39, 20, 33, 35, 20, 47, 35, 48, 34, 34, 46, 21, 24, 49, 20, 38, 33, 28, 46, 48, 49, 23, 29, 25, 50, 37, 28, 23, 34, 32, 31, 31, 33]
initial     = [50000, 9, 5, 20, 19, 4, 31, 1, 1, 41, 8, 1, 39, 37, 5, 2, 39, 25, 3, 16, 28, 28, 19, 1, 35, 43, 29, 31, 45, 19, 2, 2, 18, 1, 25, 24, 43, 45, 0, 19, 29, 3, 4, 0, 1, 15, 34, 24, 5, 24, 6]
target      = [0, 37, 27, 6, 2, 19, 5, 19, 21, 3, 29, 49, 14, 6, 15, 35, 5, 10, 32, 4, 2, 11, 1, 39, 8, 16, 4, 1, 6, 6, 20, 41, 3, 31, 7, 3, 4, 1, 36, 5, 1, 18, 42, 35, 23, 3, 7, 6, 22, 8, 28]
weights    = [0.000000, 0.066339, 0.067593, 0.100379, 0.233523, 0.067045, 0.162273, 0.070455, 0.070563, 0.323485, 0.065635, 0.071150, 0.088555, 0.161553, 0.064394, 0.070357, 0.196818, 0.082386, 0.069567, 0.114773, 0.330682, 0.083368, 0.438636, 0.071037, 0.122869, 0.086435, 0.184943, 0.697727, 0.190341, 0.096780, 0.069432, 0.070538, 0.157955, 0.070894, 0.105519, 0.201136, 0.260511, 1.000000, 0.071591, 0.110455, 0.654545, 0.067992, 0.069535, 0.071591, 0.070652, 0.136364, 0.133279, 0.114773, 0.066684, 0.093182, 0.066964]
min_ratio  = [0.0000, 0.1703, 0.1296, 0.7000, 0.7000, 0.1474, 0.7000, 0.0368, 0.0333, 0.7000, 0.1931, 0.0143, 0.7000, 0.7000, 0.2333, 0.0400, 0.7000, 0.7000, 0.0656, 0.7000, 0.7000, 0.7000, 0.7000, 0.0179, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.7000, 0.0700, 0.0341, 0.7000, 0.0226, 0.7000, 0.7000, 0.7000, 0.7000, 0.0000, 0.7000, 0.7000, 0.1167, 0.0667, 0.0000, 0.0304, 0.7000, 0.7000, 0.7000, 0.1591, 0.7000, 0.1500]
points = [(584400.000, 4511800.000), (584137.012, 4511493.684), (584622.284, 4511766.346), (584302.198, 4512191.243), (584109.393, 4511556.769), (584682.898, 4511741.670), (584287.722, 4512146.487), (584101.685, 4511581.092), (584713.605, 4511722.930), (584288.697, 4512214.701), (584171.766, 4511583.748), (584692.010, 4511844.667), (584286.455, 4512159.578), (584093.326, 4511548.345), (584643.749, 4511807.461), (584359.408, 4512237.988), (584201.343, 4511510.815), (584768.857, 4511777.818), (584303.182, 4512158.873), (584074.437, 4511565.552), (584677.423, 4511765.708), (584312.554, 4512238.350), (584117.462, 4511566.514), (584628.035, 4511811.196), (584335.845, 4512167.355), (584059.632, 4511423.112), (584759.506, 4511764.217), (584306.915, 4512280.054), (584077.639, 4511550.608), (584702.639, 4511760.962), (584311.958, 4512253.970), (584035.105, 4511563.825), (584734.107, 4511709.954), (584366.702, 4512269.577), (584125.140, 4511559.763), (584623.315, 4511770.951), (584340.754, 4512212.032), (584113.967, 4511551.116), (584751.342, 4511753.419), (584336.789, 4512148.555), (584163.935, 4511444.309), (584781.722, 4511832.299), (584303.154, 4512165.566), (584130.338, 4511548.283), (584644.120, 4511841.714), (584363.240, 4512234.991), (584197.352, 4511433.220), (584700.648, 4511803.738), (584381.570, 4512183.368), (584081.264, 4511533.522), (584732.283, 4511826.219)]
distances = [
{0.0000, 403.7231, 224.8176, 403.2824, 378.9640, 288.8484, 364.2249, 370.0166, 322.9360, 429.3777, 314.4128, 295.4069, 377.0795, 396.7105, 243.8630, 439.8654, 350.8456, 369.5230, 371.7038, 401.1952, 279.5346, 446.9868, 366.5284, 228.3096, 372.9147, 507.8338, 361.2821, 488.9952, 407.5694, 305.1463, 462.4289, 434.6572, 346.0289, 470.7563, 365.0503, 225.1961, 416.2697, 379.1543, 354.4168, 354.2408, 426.8996, 383.0860, 378.1767, 368.8894, 247.6585, 436.5412, 419.0390, 300.6714, 383.8103, 415.4547, 333.3156}
{403.7231, 0.0000, 556.6276, 716.8514, 68.8660, 599.5735, 669.9745, 94.2774, 620.4943, 736.7999, 96.5375, 656.6679, 682.4575, 69.9737, 596.0189, 776.8199, 66.5734, 692.7915, 685.6310, 95.2922, 605.0138, 765.0766, 75.4087, 584.7374, 702.4010, 104.7285, 678.7392, 804.5151, 82.2523, 625.5971, 780.1552, 123.7120, 635.0556, 809.1776, 67.1371, 559.7925, 746.6827, 61.8830, 666.9815, 684.6662, 56.2383, 728.2247, 692.1190, 55.0053, 615.0480, 775.0581, 85.4212, 643.2879, 731.7598, 68.5192, 681.8559}
{224.8176, 556.6276, 0.0000, 531.9708, 554.0579, 65.4435, 506.3984, 552.5782, 101.1155, 558.8402, 486.1158, 104.8612, 517.1199, 572.1204, 46.3803, 539.9542, 492.4305, 147.0204, 505.8692, 583.4858, 55.1424, 564.5531, 542.9347, 45.2171, 492.8036, 659.0810, 137.2377, 602.7878, 585.8169, 80.5346, 577.9963, 621.1234, 125.2376, 564.4144, 538.3578, 4.7187, 527.1576, 552.0058, 129.7038, 477.0655, 560.1722, 172.5400, 511.0975, 538.1110, 78.4674, 535.4733, 539.9450, 86.8273, 481.5082, 588.9903, 125.2375}
{403.2824, 716.8514, 531.9708, 0.0000, 663.1227, 589.1081, 47.0391, 642.2537, 623.3560, 27.0652, 621.3395, 521.6021, 35.3632, 675.9778, 513.7567, 73.8783, 687.8627, 623.4507, 32.3851, 665.8571, 567.3396, 48.2311, 651.4704, 500.6052, 41.2649, 805.5216, 625.6849, 88.9353, 678.8524, 587.7881, 63.4818, 681.9039, 646.6725, 101.4740, 655.8331, 528.9248, 43.8033, 667.2286, 627.2328, 54.9437, 759.6239, 598.9863, 25.6953, 665.5333, 488.9595, 75.0995, 765.2398, 555.8086, 79.7619, 693.8362, 564.1058}
{378.9640, 68.8660, 554.0579, 663.1227, 0.0000, 602.5742, 616.0916, 25.5156, 626.6427, 681.9270, 67.9581, 649.8679, 628.2751, 18.1417, 590.2394, 725.6494, 102.7943, 695.5248, 632.5220, 36.0429, 605.2386, 711.2149, 12.6525, 577.6872, 651.2262, 142.6200, 682.4083, 749.7704, 32.3460, 627.4037, 726.0321, 74.6221, 643.2210, 757.8283, 16.0291, 556.7669, 694.9083, 7.2718, 671.3941, 633.9718, 124.9883, 726.5966, 638.8873, 22.5983, 605.9099, 724.1705, 151.6610, 640.7621, 683.1589, 36.4914, 678.6715}
{288.8484, 599.5735, 65.4435, 589.1081, 602.5742, 0.0000, 565.7214, 602.9868, 35.9738, 615.7533, 534.9714, 103.3994, 576.0331, 620.4590, 76.5575, 592.4336, 534.0305, 93.2504, 564.1295, 633.4369, 24.6535, 619.5522, 591.9429, 88.5651, 549.2293, 699.9566, 79.8572, 656.6732, 634.6986, 27.6027, 632.4932, 671.7616, 60.2359, 615.3579, 586.6715, 66.3890, 581.6377, 599.9937, 69.4459, 534.1786, 598.1190, 134.0888, 569.1159, 585.4239, 107.2965, 587.8318, 575.2354, 64.5560, 534.6913, 636.6222, 97.9158}
{364.2249, 669.9745, 506.3984, 47.0391, 616.0916, 565.7214, 0.0000, 595.2151, 600.6470, 68.2206, 574.5614, 504.5241, 13.1520, 628.9388, 491.6239, 116.2380, 641.5146, 606.1416, 19.8102, 618.8513, 544.8485, 95.1595, 604.4476, 477.7375, 52.4528, 758.4837, 607.2152, 134.9383, 631.8283, 566.3795, 110.1818, 635.0676, 624.3568, 146.2500, 608.8335, 503.6366, 84.3121, 620.2078, 607.8213, 49.1108, 713.0064, 585.4491, 24.5386, 618.5617, 468.9417, 116.3436, 718.9692, 536.6427, 100.8348, 646.8003, 547.9105}
