12 3 [20, 20, 20]
capacities = [100000, 33, 35, 45, 45, 46, 36, 20, 33, 32, 31, 21, 26]
initial     = [50000, 22, 12, 20, 23, 21, 22, 0, 10, 12, 26, 0, 14]
target      = [0, 14, 20, 23, 15, 32, 24, 2, 14, 15, 13, 20, 21]
weights    = [0.000000, 0.592857, 0.430000, 0.173913, 0.556667, 0.376562, 0.129167, 1.000000, 0.321429, 0.240000, 1.000000, 1.000000, 0.366667]
min_ratio  = [0.0000, 0.7000, 0.4200, 0.6087, 0.7000, 0.4594, 0.6417, 0.0000, 0.5000, 0.5600, 0.7000, 0.0000, 0.4667]
points = [(584400.000, 4511800.000), (584147.067, 4511446.471), (584775.961, 4511809.003), (584257.801, 4512246.349), (584197.666, 4511438.655), (584715.886, 4511802.987), (584354.764, 4512304.921), (584063.273, 4511553.365), (584704.697, 4511755.059), (584338.447, 4512266.719), (584040.020, 4511464.302), (584695.201, 4511756.065), (584379.763, 4512189.947)]
distances = [
{0.0000, 434.6926, 376.0684, 468.4528, 414.1365, 315.9005, 506.9438, 417.3894, 307.9930, 470.7604, 492.2184, 298.4528, 390.4713}
{434.6926, 0.0000, 725.9039, 807.5065, 51.1998, 671.3113, 883.2183, 135.8221, 637.3203, 842.2780, 108.5214, 629.5232, 779.0398}
{376.0684, 725.9039, 0.0000, 678.0567, 686.7180, 60.3748, 650.6474, 757.1488, 89.3785, 633.1843, 812.6668, 96.5635, 549.6275}
{468.4528, 807.5065, 678.0567, 0.0000, 809.9297, 637.5047, 113.2803, 719.7697, 664.1396, 83.1781, 811.8049, 657.0368, 134.3725}
{414.1365, 51.1998, 686.7180, 809.9297, 0.0000, 633.4741, 880.3960, 176.6918, 597.6545, 839.9458, 159.7188, 590.1608, 773.0448}
{315.9005, 671.3113, 60.3748, 637.5047, 633.4741, 0.0000, 618.3430, 698.7239, 49.2167, 597.9200, 755.9780, 51.2790, 512.5589}
{506.9438, 883.2183, 650.6474, 113.2803, 880.3960, 618.3430, 0.0000, 806.1042, 651.7682, 41.5414, 897.6110, 645.8647, 117.6614}
{417.3894, 135.8221, 757.1488, 719.7697, 176.6918, 698.7239, 806.1042, 0.0000, 672.3872, 764.5877, 92.0489, 663.6418, 710.9164}
{307.9930, 637.3203, 89.3785, 664.1396, 597.6545, 49.2167, 651.7682, 672.3872, 0.0000, 629.2336, 725.4891, 9.5485, 542.8709}
{470.7604, 842.2780, 633.1843, 83.1781, 839.9458, 597.9200, 41.5414, 764.5877, 629.2336, 0.0000, 856.1145, 622.9297, 87.1841}
{492.2184, 108.5214, 812.6668, 811.8049, 159.7188, 755.9780, 897.6110, 92.0489, 725.4891, 856.1145, 0.0000, 717.2085, 801.2403}
{298.4528, 629.5232, 96.5635, 657.0368, 590.1608, 51.2790, 645.8647, 663.6418, 9.5485, 622.9297, 717.2085, 0.0000, 536.4274}
{390.4713, 779.0398, 549.6275, 134.3725, 773.0448, 512.5589, 117.6614, 710.9164, 542.8709, 87.1841, 801.2403, 536.4274, 0.0000}
]
