12 1 [30]
capacities = [100000, 53, 75, 62, 37, 57, 57, 43, 51, 51, 61, 33, 63]
initial     = [50000, 48, 50, 8, 5, 14, 23, 5, 42, 46, 8, 32, 18]
target      = [0, 14, 18, 18, 11, 7, 16, 4, 4, 13, 6, 4, 9]
weights    = [0.000000, 0.604938, 1.000000, 1.000000, 0.373457, 0.151235, 0.790123, 0.049383, 0.049383, 0.521605, 0.111111, 0.049383, 0.250000]
min_ratio  = [0.0000, 0.3739, 0.4726, 0.1343, 0.3420, 0.3702, 0.2517, 0.1292, 0.3583, 0.2631, 0.1135, 0.2258, 0.0411]
points = [(586479.056, 4512477.803), (586303.104, 4512106.655), (586767.009, 4512306.873), (586262.035, 4512311.866), (586584.722, 4512325.436), (586157.098, 4512368.784), (586882.363, 4512434.021), (586507.493, 4512468.419), (586599.523, 4512589.488), (586254.002, 4512588.482), (586391.431, 4512610.575), (586714.861, 4512797.584), (586325.035, 4512825.449)]
distances = [
{0.0000, 273.8287, 223.2425, 182.1272, 123.6138, 226.6100, 270.4507, 19.9633, 109.5158, 167.1983, 106.0538, 264.8806, 253.4917}
{273.8287, 0.0000, 336.8449, 139.5202, 237.7429, 200.0326, 443.5761, 277.0063, 377.7077, 322.8817, 341.0683, 536.2117, 479.4190}
{223.2425, 336.8449, 0.0000, 336.6658, 122.1532, 408.6968, 114.4517, 203.7926, 219.0107, 390.1452, 322.0033, 328.9827, 454.2452}
{182.1272, 139.5202, 336.6658, 0.0000, 215.3148, 79.5862, 421.4940, 194.0887, 291.3357, 184.4884, 217.0206, 442.7055, 344.9551}
{123.6138, 237.7429, 122.1532, 215.3148, 0.0000, 286.5436, 211.2196, 108.3379, 176.3110, 281.7161, 229.6525, 326.5033, 375.6182}
{226.6100, 200.0326, 408.6968, 79.5862, 286.5436, 0.0000, 485.4621, 242.8569, 329.6127, 160.0800, 224.4745, 469.0269, 324.3768}
{270.4507, 443.5761, 114.4517, 421.4940, 211.2196, 485.4621, 0.0000, 250.9632, 215.1676, 431.3780, 347.8094, 266.8624, 454.0340}
{19.9633, 277.0063, 203.7926, 194.0887, 108.3379, 242.8569, 250.9632, 0.0000, 101.3842, 186.9912, 122.3451, 259.3591, 267.3004}
{109.5158, 377.7077, 219.0107, 291.3357, 176.3110, 329.6127, 215.1676, 101.3842, 0.0000, 230.3483, 139.4385, 158.6146, 241.3124}
{167.1983, 322.8817, 390.1452, 184.4884, 281.7161, 160.0800, 431.3780, 186.9912, 230.3483, 0.0000, 92.7957, 337.3852, 164.9229}
{106.0538, 341.0683, 322.0033, 217.0206, 229.6525, 224.4745, 347.8094, 122.3451, 139.4385, 92.7957, 0.0000, 249.0688, 149.9322}
{264.8806, 536.2117, 328.9827, 442.7055, 326.5033, 469.0269, 266.8624, 259.3591, 158.6146, 337.3852, 249.0688, 0.0000, 260.5471}
{253.4917, 479.4190, 454.2452, 344.9551, 375.6182, 324.3768, 454.0340, 267.3004, 241.3124, 164.9229, 149.9322, 260.5471, 0.0000}
]
